"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type"
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,"red"
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6,"white"
6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7,"white"
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,"red"
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5,"white"
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,"red"
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,"white"
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,"white"
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,"red"
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,"white"
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"white"
5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6,"white"
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,"red"
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,"white"
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,"white"
7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5,"white"
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,"white"
7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,7,"white"
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,"red"
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,"white"
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,"red"
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4,"white"
7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11,6,"white"
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7,"white"
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,"red"
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,"red"
8.3,0.49,0.43,2.5,0.036,32,116,0.9944,3.23,0.47,10.7,6,"white"
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,"red"
8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6,"white"
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6,"white"
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,"white"
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"red"
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,"white"
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,"white"
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6,"white"
6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,7,"white"
5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7,"white"
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8,"white"
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,"white"
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,"white"
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5,"white"
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,"white"
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,"white"
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,"white"
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,"white"
6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7,"white"
6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7,"white"
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5,"white"
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,"red"
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,"red"
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,"white"
6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,6,"white"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4,"red"
6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5,"white"
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5,"white"
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,"white"
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,"white"
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,"white"
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,"white"
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7,"white"
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,"white"
6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6,"white"
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,"white"
8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,"white"
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,"white"
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,"white"
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,"white"
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7,"white"
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,6,"red"
7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6,"white"
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,"white"
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,"white"
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,"red"
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4,"white"
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6,"white"
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7,"white"
6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,"white"
5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5,"white"
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5,"white"
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6,"red"
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,"red"
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6,"red"
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,"white"
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,"red"
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,"white"
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,"red"
6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5,"white"
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,"white"
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"red"
6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,"white"
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,"white"
6.8,0.25,0.37,3.1,0.026,29,93,0.99035,3.14,0.45,12.2,6,"white"
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6,"white"
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,"white"
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,"red"
6.2,0.26,0.32,15.3,0.031,64,185,0.99835,3.31,0.61,9.4,5,"white"
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,"white"
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"red"
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5,"white"
6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,6,"white"
6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,5,"white"
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6,"white"
6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6,"white"
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5,"white"
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,"red"
7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5,"white"
5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,"white"
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6,"white"
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,"red"
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,"red"
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5,"white"
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6,"white"
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6,"white"
7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,7,"white"
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6,"white"
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5,"white"
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,"white"
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5,"white"
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7,"white"
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,"white"
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,"white"
5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4,"white"
6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7,"white"
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4,"white"
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,"white"
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6,"white"
7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5,"white"
8,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7,"white"
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,"white"
6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6,"white"
6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6,"white"
6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,"white"
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6,"white"
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6,"white"
7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6,"white"
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5,"white"
9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7,"white"
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5,"white"
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,"red"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"red"
5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,5,"white"
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6,"white"
6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1,7,"white"
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,"white"
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6,"white"
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,"red"
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,"red"
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,"red"
9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5,"red"
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,"white"
6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,"white"
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,"white"
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,"red"
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6,"white"
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,"red"
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,"white"
6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6,"white"
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,"red"
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5,"white"
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,"white"
7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5,"white"
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,"white"
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,"red"
5.8,0.15,0.32,1.2,0.037,14,119,0.99137,3.19,0.5,10.2,6,"white"
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6,"white"
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6,"red"
6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7,"white"
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,"white"
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7,"white"
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5,"white"
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,"white"
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5,"white"
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,"white"
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6,"white"
8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7,"white"
6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8,"white"
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,"red"
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,"white"
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5,"white"
6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8,"white"
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,"red"
6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6,"white"
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5,"white"
6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,7,"white"
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6,"white"
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,"white"
7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5,"white"
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,"white"
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,"red"
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,"red"
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,"white"
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,"red"
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,"white"
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,"red"
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,"white"
6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,5,"white"
7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,"white"
7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6,"white"
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,"red"
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,"white"
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,"white"
7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7,"white"
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,"white"
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,"white"
6.3,0.22,0.22,5.6,0.039,31,128,0.99296,3.12,0.46,10.4,6,"white"
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,"white"
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,"white"
6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12,7,"white"
5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5,"white"
7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5,"white"
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,"white"
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,6,"white"
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6,"white"
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10,6,"white"
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6,"white"
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6,"white"
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,"white"
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,"white"
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6,"white"
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,"white"
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7,"white"
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7,"white"
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,"red"
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"white"
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,"white"
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,"red"
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6,"white"
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,"red"
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,"white"
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,"red"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,"red"
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,"red"
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,"white"
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7,"red"
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,"white"
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,"white"
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,"red"
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6,"white"
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,"white"
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,"red"
7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6,"white"
9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5,"red"
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5,"red"
6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6,"white"
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,"white"
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5,"white"
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,"white"
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,"white"
6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5,"white"
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"red"
7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,"white"
6.7,0.31,0.33,2,0.033,12,74,0.99064,3.29,0.65,12.5,6,"white"
7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,"white"
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,"red"
7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,5,"white"
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6,"white"
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"white"
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,"white"
7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7,"white"
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7,"white"
5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,"white"
8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5,"white"
6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.35,6,"white"
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10,6,"white"
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,"white"
6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6,"white"
6.7,0.34,0.4,2.1,0.033,34,111,0.98924,2.97,0.48,12.2,7,"white"
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,"white"
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7,"white"
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7,"white"
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6,"white"
6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6,"white"
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,"red"
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7,"white"
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7,"white"
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,"white"
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5,"white"
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6,"white"
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5,"white"
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,"white"
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,"white"
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6,"white"
9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7,"red"
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,"white"
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,"white"
5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6,"white"
6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6,"white"
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6,"white"
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5,"white"
6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5,"white"
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6,"white"
7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6,"white"
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,"red"
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5,"white"
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5,"red"
6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,5,"white"
6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,6,"white"
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5,"white"
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,"white"
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6,"white"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"red"
